Date,Portfolio_Return
2024-11-04,-0.007997813965849209
2024-11-05,0.04390527738785206
2024-11-06,0.07612007146434005
2024-11-07,-0.011929041644825071
2024-11-08,0.02213668666031754
2024-11-11,0.01920628656719279
2024-11-12,0.00015036115882340113
2024-11-13,-0.00444287937127207
2024-11-14,0.0021733075847363745
2024-11-15,0.00030080188402786226
2024-11-18,0.00028492856173729014
2024-11-19,0.024363325225398934
2024-11-20,0.005308783629113592
2024-11-21,0.009931744779383314
2024-11-22,0.031624154681133686
2024-11-25,-0.006960754558581146
2024-11-26,-0.002203040037963634
2024-11-27,0.005686634655189567
2024-11-29,0.001999926368344296
